strategy,entry_time,r_multiple,prior_open_count,prior_jpy_open,prior_long_open,prior_short_open,prior_amr_open,prior_arb_open,prior_max_ccy_concentration,prior_n_factors,own_is_jpy,own_dir,own_mechanism,own_vol_pctile_atr
AUDJPY_AMR,2026-02-02 02:00:00+00:00,-1.0844273668480404,3,2,1,2,2,0,0.667,4,True,SELL,AMR,0.9711236493319848
CADJPY_ARB,2026-02-02 07:00:00+00:00,-1.0272479564032575,2,1,1,1,1,0,0.5,4,True,SELL,ARB,0.8866556485578717
AUDJPY_AMR,2026-02-03 01:15:00+00:00,-1.1478072550079923,1,1,0,1,0,1,1.0,2,True,SELL,AMR,0.7009102038643743
EURJPY_AMR,2026-02-03 02:15:00+00:00,-1.101928374655539,2,2,0,2,1,1,1.0,3,True,SELL,AMR,0.442653210278202
GBPJPY_AMR,2026-02-03 02:15:00+00:00,-1.1646586345377097,2,2,0,2,1,1,1.0,3,True,SELL,AMR,0.3595845839198916
CADJPY_AMR,2026-02-03 02:30:00+00:00,0.537634408602135,3,3,0,3,2,1,1.0,4,True,SELL,AMR,0.5130135712957798
EURJPY_AMR,2026-02-04 02:15:00+00:00,-1.1289537712893778,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.4361330588938317
CADJPY_AMR,2026-02-04 02:30:00+00:00,-1.1273080660836736,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.4316389132340053
GBPJPY_AMR,2026-02-04 03:00:00+00:00,-1.03561030235159,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.4958166219554304
AUDJPY_AMR,2026-02-04 03:00:00+00:00,-1.0460157126823395,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.8394235375525629
CADJPY_ARB,2026-02-04 07:00:00+00:00,0.8254269449715353,1,1,0,1,1,0,1.0,2,True,BUY,ARB,0.3592792024310924
CADJPY_AMR,2026-02-05 02:15:00+00:00,0.5125172481764914,2,2,1,1,1,1,1.0,3,True,SELL,AMR,0.534406289007516
AUDJPY_AMR,2026-02-05 02:15:00+00:00,0.5674808783616719,2,2,1,1,1,1,1.0,2,True,SELL,AMR,0.8090834087400862
EURJPY_AMR,2026-02-05 02:45:00+00:00,0.5284552845528561,2,2,1,1,1,1,1.0,3,True,BUY,AMR,0.5113737467631632
CADJPY_AMR,2026-02-06 00:00:00+00:00,-1.07776126795443,1,1,1,0,0,1,1.0,2,True,BUY,AMR,0.8124983401057021
GBPJPY_AMR,2026-02-06 01:15:00+00:00,-1.0557672324212817,3,3,3,0,2,1,1.0,3,True,BUY,AMR,0.7389704905840793
EURJPY_AMR,2026-02-06 01:15:00+00:00,-1.0727542687453986,3,3,3,0,2,1,1.0,3,True,BUY,AMR,0.6662240223092756
AUDJPY_AMR,2026-02-06 02:00:00+00:00,0.6475390716118617,1,1,1,0,0,1,1.0,2,True,BUY,AMR,0.9588012987704264
GBPJPY_AMR,2026-02-09 00:00:00+00:00,0.7560746408914225,4,3,4,0,3,0,0.75,6,True,BUY,AMR,0.692395548354538
EURJPY_AMR,2026-02-09 00:00:00+00:00,0.5606240909692267,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.7447048668747095
GBPUSD_MONDAY,2026-02-09 00:00:00+00:00,0.7122789287518942,4,4,4,0,4,0,1.0,5,False,BUY,MONDAY,0.5904411372486265
CADJPY_AMR,2026-02-09 00:00:00+00:00,0.6070311904217373,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.819005125753592
AUDJPY_AMR,2026-02-09 00:00:00+00:00,0.5781632199244398,4,3,4,0,3,0,0.75,5,True,BUY,AMR,0.8361366902645446
AUDJPY_AMR,2026-02-10 00:00:00+00:00,0.5839416058394646,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.7265263213924522
CADJPY_AMR,2026-02-10 00:00:00+00:00,0.5638095238096092,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.8154861498419781
EURJPY_AMR,2026-02-10 02:15:00+00:00,0.6106870229007328,0,0,0,0,0,0,0.0,0,True,SELL,AMR,0.6709780227076555
EURJPY_AMR,2026-02-11 02:15:00+00:00,-1.1071756526302243,0,0,0,0,0,0,0.0,0,True,BUY,AMR,0.4199853927362061
GBPJPY_AMR,2026-02-11 02:30:00+00:00,-1.041396000509489,2,2,2,0,2,0,1.0,3,True,BUY,AMR,0.5570533081887965
CADJPY_AMR,2026-02-11 02:30:00+00:00,-1.083540115798222,2,2,2,0,2,0,1.0,3,True,BUY,AMR,0.6785913473030037
CADJPY_ARB,2026-02-11 07:00:00+00:00,0.9952830188679258,0,0,0,0,0,0,0.0,0,True,SELL,ARB,0.7632883723409927
CADJPY_AMR,2026-02-12 02:00:00+00:00,0.5737234652897694,2,2,0,2,1,1,1.0,3,True,SELL,AMR,0.8141847927124001
AUDJPY_AMR,2026-02-12 02:00:00+00:00,0.593427230046918,2,2,0,2,1,1,1.0,2,True,SELL,AMR,0.8738090168733699
EURJPY_AMR,2026-02-12 03:00:00+00:00,0.6060606060605984,1,1,0,1,0,1,1.0,2,True,BUY,AMR,0.8840316048071177
GBPJPY_AMR,2026-02-13 03:00:00+00:00,-1.0311007117090476,4,4,0,4,3,1,1.0,4,True,SELL,AMR,0.8847512550134133
AUDJPY_AMR,2026-02-13 03:00:00+00:00,0.6240775880244671,4,4,0,4,3,1,1.0,4,True,SELL,AMR,0.957270985255762
CADJPY_AMR,2026-02-13 03:00:00+00:00,0.6159624413145554,4,4,0,4,3,1,1.0,5,True,SELL,AMR,0.904323692667251
EURJPY_AMR,2026-02-13 03:00:00+00:00,0.6361056028616907,4,4,0,4,3,1,1.0,4,True,SELL,AMR,0.8911094880818007
AUDJPY_AMR,2026-02-16 00:00:00+00:00,0.6256232614286801,2,1,2,0,1,0,1.0,3,True,BUY,AMR,0.9084739447490284
GBPJPY_AMR,2026-02-16 00:00:00+00:00,0.7536316947908712,2,1,2,0,1,0,0.5,4,True,BUY,AMR,0.7472442827166724
GBPUSD_MONDAY,2026-02-16 00:00:00+00:00,-0.1384367209268221,2,2,2,0,2,0,1.0,3,False,BUY,MONDAY,0.7302501733610711
CADJPY_AMR,2026-02-16 02:00:00+00:00,-1.0514842597935936,2,1,1,1,1,0,0.5,4,True,SELL,AMR,0.7237537513611133
EURJPY_AMR,2026-02-16 02:00:00+00:00,-1.0450934318003855,2,1,1,1,1,0,0.5,4,True,SELL,AMR,0.7285306420556404
GBPJPY_AMR,2026-02-17 00:00:00+00:00,0.6658259773013182,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.1060320327233127
AUDJPY_AMR,2026-02-17 00:00:00+00:00,0.5494666082128803,1,1,1,0,1,0,1.0,2,True,BUY,AMR,0.188641081598978
EURJPY_AMR,2026-02-17 01:00:00+00:00,0.5814079618179886,1,1,0,1,1,0,1.0,2,True,SELL,AMR,0.1635482371688467
